sample_id,prob_up,label_up,pred_tail,correct_tail,forward_return,foreground_heat,background_heat,focus_group,contract,anchor_ts
17215,0.31652742624282837,0,0,1,-0.0014328358208954839,0.06954406946897507,0.9304561018943787,background_focused,SiZ5,2025-10-09 16:45:00
17216,0.33488669991493225,0,0,1,-0.0013378565626642747,0.0658644586801529,0.9341356754302979,background_focused,SiZ5,2025-10-09 17:00:00
17217,0.34090447425842285,0,0,1,-0.0007289587839532929,0.06446854770183563,0.9355314373970032,background_focused,SiZ5,2025-10-09 17:15:00
17290,0.3439490497112274,0,0,1,-0.006762079036343183,0.06967941671609879,0.9303206205368042,background_focused,SiZ5,2025-10-13 15:00:00
17292,0.34138351678848267,0,0,1,-0.006702867809265212,0.07025355845689774,0.9297464489936829,background_focused,SiZ5,2025-10-13 15:30:00
17293,0.33281683921813965,0,0,1,-0.007152902381067805,0.06906764209270477,0.930932343006134,background_focused,SiZ5,2025-10-13 15:45:00
17294,0.29848793148994446,0,0,1,-0.007237328613512117,0.06372825056314468,0.9362717866897583,background_focused,SiZ5,2025-10-13 16:00:00
17308,0.770643949508667,0,1,0,-0.004580712148048671,0.05813329666852951,0.9418667554855347,background_focused,SiZ5,2025-10-14 09:15:00
17310,0.7914666533470154,0,1,0,-0.0038771541443964885,0.061984915286302567,0.9380151629447937,background_focused,SiZ5,2025-10-14 09:45:00
17349,0.8043357133865356,0,1,0,-0.004817907792657006,0.07462048530578613,0.9253796339035034,background_focused,SiZ5,2025-10-15 09:15:00
17362,0.34217238426208496,0,0,1,-0.003728754769337539,0.08692134916782379,0.9130787253379822,background_focused,SiZ5,2025-10-15 12:30:00
17516,0.7698250412940979,1,1,1,0.006097487059508078,0.0547671765089035,0.9452327489852905,background_focused,SiZ5,2025-10-21 10:00:00
17518,0.7925516963005066,1,1,1,0.008326354246319223,0.07834698259830475,0.9216529726982117,background_focused,SiZ5,2025-10-21 10:30:00
17520,0.7806693911552429,1,1,1,0.006641905706715745,0.0654727891087532,0.9345272779464722,background_focused,SiZ5,2025-10-21 11:00:00
17522,0.8354122042655945,1,1,1,0.0019631694949957534,0.05592289939522743,0.9440771341323853,background_focused,SiZ5,2025-10-21 11:30:00
17523,0.7691629528999329,1,1,1,0.003604103132797354,0.05263059586286545,0.9473693370819092,background_focused,SiZ5,2025-10-21 11:45:00
17524,0.7821537852287292,1,1,1,0.0013623321196922777,0.05123308673501015,0.9487669467926025,background_focused,SiZ5,2025-10-21 12:00:00
17525,0.7667229771614075,1,1,1,0.0015686842359301512,0.052194349467754364,0.947805643081665,background_focused,SiZ5,2025-10-21 12:15:00
17526,0.7628026604652405,1,1,1,0.000662642618763698,0.05564100295305252,0.9443590044975281,background_focused,SiZ5,2025-10-21 12:30:00
17599,0.7931115627288818,1,1,1,0.007075443123856662,0.06814522296190262,0.931854784488678,background_focused,SiZ5,2025-10-23 10:15:00
17600,0.7668815851211548,1,1,1,0.005916657573442841,0.07810845971107483,0.9218915104866028,background_focused,SiZ5,2025-10-23 10:30:00
17602,0.7655002474784851,1,1,1,0.0026595101665820575,0.0788298174738884,0.9211701154708862,background_focused,SiZ5,2025-10-23 11:00:00
17604,0.7602360248565674,1,1,1,0.0007601534786070285,0.07251154631376266,0.9274884462356567,background_focused,SiZ5,2025-10-23 11:30:00
17605,0.7662765979766846,1,1,1,0.0005788223377187762,0.07065822184085846,0.9293417930603027,background_focused,SiZ5,2025-10-23 11:45:00
17676,0.7670440077781677,0,1,0,-0.003703290850766039,0.06107928231358528,0.9389205574989319,background_focused,SiZ5,2025-10-27 09:00:00
17678,0.7853644490242004,0,1,0,-0.002257140376768829,0.061945751309394836,0.9380542039871216,background_focused,SiZ5,2025-10-27 09:30:00
17679,0.7778691649436951,0,1,0,-0.0006827633294023139,0.06362989544868469,0.9363700747489929,background_focused,SiZ5,2025-10-27 09:45:00
17711,0.3508634567260742,1,0,0,0.00954084675014899,0.06139058619737625,0.9386094808578491,background_focused,SiZ5,2025-10-27 17:45:00
17716,0.3497444689273834,0,0,1,-0.004078564739514068,0.06513837724924088,0.9348615407943726,background_focused,SiZ5,2025-10-28 08:45:00
