sample_id,prob_up,label_up,pred_tail,correct_tail,forward_return,foreground_heat_dilated,background_heat,price_foreground_heat,volume_foreground_heat,recent_right_edge_heat,focus_group,contract,anchor_ts
17863,0.8703349828720093,0,1,0,-0.0014749801913817029,0.12293436378240585,0.8770656585693359,0.12293436378240585,0.0,0.022551897913217545,background_focused,SiZ5,2025-11-12 15:00:00
17866,0.8735616207122803,0,1,0,-0.0016461206423528107,0.12864457070827484,0.8713553547859192,0.12864457070827484,0.0,0.04092283546924591,background_focused,SiZ5,2025-11-12 15:45:00
17868,0.8829424977302551,0,1,0,-0.0010737206862051485,0.12412869930267334,0.8758713603019714,0.12412869930267334,0.0,0.034911058843135834,background_focused,SiZ5,2025-11-12 16:15:00
18060,0.07833024114370346,0,0,1,-0.0046719803801348325,0.1317647248506546,0.8682352304458618,0.1317647248506546,0.0,0.029696058481931686,background_focused,SiZ5,2025-11-19 13:15:00
18061,0.07247203588485718,0,0,1,-0.004977991392734138,0.11269836872816086,0.8873015642166138,0.11269836872816086,0.0,0.028234751895070076,background_focused,SiZ5,2025-11-19 13:30:00
18062,0.06060563400387764,0,0,1,-0.005793870501482168,0.11756318807601929,0.8824368119239807,0.11756318807601929,0.0,0.02746487222611904,background_focused,SiZ5,2025-11-19 13:45:00
18064,0.06832375377416611,0,0,1,-0.0035172430696830403,0.13538885116577148,0.8646112084388733,0.13538885116577148,0.0,0.017214111983776093,background_focused,SiZ5,2025-11-19 14:15:00
18065,0.06495597213506699,0,0,1,-0.004155786841234188,0.13403388857841492,0.8659661412239075,0.13403388857841492,0.0,0.020812254399061203,background_focused,SiZ5,2025-11-19 14:30:00
18066,0.06850538402795792,0,0,1,-0.0037185214275194944,0.11170262843370438,0.8882973790168762,0.11170262843370438,0.0,0.027453813701868057,background_focused,SiZ5,2025-11-19 14:45:00
18067,0.07589960843324661,0,0,1,-0.004499534108184933,0.11442360281944275,0.8855764865875244,0.11442360281944275,0.0,0.02324911579489708,background_focused,SiZ5,2025-11-19 15:00:00
18247,0.06722234934568405,0,0,1,-0.0037241832045649126,0.15731102228164673,0.842689037322998,0.15731102228164673,0.0,0.01731257699429989,background_focused,SiZ5,2025-11-26 08:45:00
18251,0.07474712282419205,0,0,1,-0.0008971556375491074,0.1058175191283226,0.8941823840141296,0.1058175191283226,0.0,0.029141416773200035,background_focused,SiZ5,2025-11-26 09:45:00
