open,close,high,low,value,volume,begin,end,SECID
102600,102600,102600,102600,0,25,2025-05-27 23:22:00,2025-05-27 23:22:59,SiU6
102600,102600,102600,102600,0,25,2025-05-27 23:24:00,2025-05-27 23:24:59,SiU6
102600,102600,102600,102600,0,25,2025-05-27 23:30:00,2025-05-27 23:30:59,SiU6
102600,102600,102600,102600,0,7,2025-05-27 23:31:00,2025-05-27 23:31:59,SiU6
103183,102500,103186,102500,0,14,2025-05-28 12:38:00,2025-05-28 12:38:59,SiU6
102500,102500,102500,102500,0,1,2025-05-28 19:56:00,2025-05-28 19:56:59,SiU6
102500,102500,102500,102500,0,1,2025-05-28 23:29:00,2025-05-28 23:29:59,SiU6
101811,101811,101811,101811,0,3,2025-05-29 15:44:00,2025-05-29 15:44:59,SiU6
100745,100745,100745,100745,0,1,2025-05-29 17:11:00,2025-05-29 17:11:59,SiU6
100794,100794,100794,100794,0,4,2025-05-29 17:54:00,2025-05-29 17:54:59,SiU6
100816,100815,100816,100815,0,3,2025-05-29 19:27:00,2025-05-29 19:27:59,SiU6
100825,100825,100825,100825,0,1,2025-05-29 19:28:00,2025-05-29 19:28:59,SiU6
100747,100747,100747,100747,0,1,2025-05-29 19:31:00,2025-05-29 19:31:59,SiU6
100747,100747,100747,100747,0,1,2025-05-29 19:32:00,2025-05-29 19:32:59,SiU6
100747,100747,100747,100747,0,5,2025-05-29 19:34:00,2025-05-29 19:34:59,SiU6
100779,100747,100779,100747,0,4,2025-05-29 23:08:00,2025-05-29 23:08:59,SiU6
102079,102079,102079,102079,0,2,2025-05-30 11:45:00,2025-05-30 11:45:59,SiU6
101564,101564,101564,101564,0,2,2025-06-02 13:41:00,2025-06-02 13:41:59,SiU6
100902,100900,100902,100900,0,3,2025-06-02 17:51:00,2025-06-02 17:51:59,SiU6
100700,100700,100700,100700,0,1,2025-06-03 11:09:00,2025-06-03 11:09:59,SiU6
100094,101317,101317,100094,0,3,2025-06-03 12:06:00,2025-06-03 12:06:59,SiU6
101384,101384,101384,101384,0,1,2025-06-03 12:10:00,2025-06-03 12:10:59,SiU6
100212,100002,100212,100002,0,110,2025-06-03 13:52:00,2025-06-03 13:52:59,SiU6
100872,100872,100872,100872,0,1,2025-06-03 16:00:00,2025-06-03 16:00:59,SiU6
99504,100776,100776,99504,0,2,2025-06-04 14:33:00,2025-06-04 14:33:59,SiU6
100820,100820,100820,100820,0,1,2025-06-04 14:34:00,2025-06-04 14:34:59,SiU6
100820,100820,100820,100820,0,1,2025-06-04 14:36:00,2025-06-04 14:36:59,SiU6
100003,100003,100003,100003,0,1,2025-06-04 15:44:00,2025-06-04 15:44:59,SiU6
100349,100350,100350,100349,0,3,2025-06-04 15:59:00,2025-06-04 15:59:59,SiU6
100799,100974,100974,100799,0,8,2025-06-04 16:14:00,2025-06-04 16:14:59,SiU6
101250,101250,101250,101250,0,1,2025-06-04 17:34:00,2025-06-04 17:34:59,SiU6
101650,101650,101650,101650,0,1,2025-06-05 09:23:00,2025-06-05 09:23:59,SiU6
100500,100500,100500,100500,0,1,2025-06-05 11:49:00,2025-06-05 11:49:59,SiU6
100123,100123,100123,100123,0,1,2025-06-05 13:01:00,2025-06-05 13:01:59,SiU6
101199,101199,101199,101199,0,2,2025-06-05 15:13:00,2025-06-05 15:13:59,SiU6
100999,100999,100999,100999,0,1,2025-06-05 16:32:00,2025-06-05 16:32:59,SiU6
101275,101275,101275,101275,0,1,2025-06-06 10:34:00,2025-06-06 10:34:59,SiU6
101524,101524,101524,101524,0,1,2025-06-06 10:37:00,2025-06-06 10:37:59,SiU6
100604,100544,100604,100544,0,2,2025-06-06 11:37:00,2025-06-06 11:37:59,SiU6
100276,100275,100276,100275,0,3,2025-06-06 12:03:00,2025-06-06 12:03:59,SiU6
100300,100300,100300,100300,0,1,2025-06-06 13:15:00,2025-06-06 13:15:59,SiU6
100600,100600,100600,100600,0,3,2025-06-06 13:27:00,2025-06-06 13:27:59,SiU6
100431,100431,100431,100431,0,1,2025-06-06 14:48:00,2025-06-06 14:48:59,SiU6
100179,100179,100179,100179,0,1,2025-06-06 15:55:00,2025-06-06 15:55:59,SiU6
100179,100179,100179,100179,0,1,2025-06-06 15:57:00,2025-06-06 15:57:59,SiU6
100179,100179,100179,100179,0,1,2025-06-06 16:49:00,2025-06-06 16:49:59,SiU6
100784,100784,100784,100784,0,1,2025-06-09 11:57:00,2025-06-09 11:57:59,SiU6
99641,100952,100952,99641,0,3,2025-06-09 12:19:00,2025-06-09 12:19:59,SiU6
101245,101246,101246,101245,0,2,2025-06-09 15:37:00,2025-06-09 15:37:59,SiU6
101609,100414,101610,100414,0,4,2025-06-09 15:38:00,2025-06-09 15:38:59,SiU6
100201,100200,100201,100200,0,4,2025-06-09 18:14:00,2025-06-09 18:14:59,SiU6
100200,100200,100200,100200,0,1,2025-06-10 12:52:00,2025-06-10 12:52:59,SiU6
100888,100888,100888,100888,0,1,2025-06-10 14:19:00,2025-06-10 14:19:59,SiU6
100833,100833,100833,100833,0,1,2025-06-10 14:41:00,2025-06-10 14:41:59,SiU6
99501,99500,99501,99500,0,3,2025-06-11 09:39:00,2025-06-11 09:39:59,SiU6
99528,99528,99528,99528,0,1,2025-06-11 10:54:00,2025-06-11 10:54:59,SiU6
100498,100498,100498,100498,0,1,2025-06-11 11:55:00,2025-06-11 11:55:59,SiU6
99709,99709,99709,99709,0,1,2025-06-11 13:37:00,2025-06-11 13:37:59,SiU6
100061,100061,100061,100061,0,2,2025-06-11 16:39:00,2025-06-11 16:39:59,SiU6
100014,100014,100014,100014,0,1,2025-06-11 17:24:00,2025-06-11 17:24:59,SiU6
101144,101144,101144,101144,0,1,2025-06-11 21:29:00,2025-06-11 21:29:59,SiU6
98601,98601,98601,98601,0,4,2025-06-13 19:49:00,2025-06-13 19:49:59,SiU6
99008,99008,99008,99008,0,1,2025-06-13 22:26:00,2025-06-13 22:26:59,SiU6
98601,98601,98601,98601,0,1,2025-06-13 22:27:00,2025-06-13 22:27:59,SiU6
99909,99909,99909,99909,0,2,2025-06-13 23:35:00,2025-06-13 23:35:59,SiU6
98424,98191,98424,98191,0,2,2025-06-16 09:07:00,2025-06-16 09:07:59,SiU6
99812,99812,99812,99812,0,1,2025-06-16 12:38:00,2025-06-16 12:38:59,SiU6
99845,99845,99845,99845,0,2,2025-06-16 16:29:00,2025-06-16 16:29:59,SiU6
99501,99401,99501,99401,0,2,2025-06-16 20:46:00,2025-06-16 20:46:59,SiU6
99585,99585,99585,99585,0,1,2025-06-17 10:52:00,2025-06-17 10:52:59,SiU6
99922,99922,99922,99922,0,7,2025-06-17 11:01:00,2025-06-17 11:01:59,SiU6
99513,99513,99513,99513,0,1,2025-06-17 20:30:00,2025-06-17 20:30:59,SiU6
99283,99283,99283,99283,0,1,2025-06-18 13:49:00,2025-06-18 13:49:59,SiU6
99492,99492,99492,99492,0,4,2025-06-18 19:31:00,2025-06-18 19:31:59,SiU6
99006,99006,99006,99006,0,1,2025-06-18 19:55:00,2025-06-18 19:55:59,SiU6
98518,98518,98518,98518,0,1,2025-06-18 20:14:00,2025-06-18 20:14:59,SiU6
99492,99492,99492,99492,0,4,2025-06-18 22:26:00,2025-06-18 22:26:59,SiU6
99000,99000,99000,99000,0,1,2025-06-19 17:13:00,2025-06-19 17:13:59,SiU6
99000,99000,99000,99000,0,2,2025-06-19 18:46:00,2025-06-19 18:46:59,SiU6
99494,99494,99494,99494,0,1,2025-06-19 19:37:00,2025-06-19 19:37:59,SiU6
99495,99495,99495,99495,0,3,2025-06-19 20:31:00,2025-06-19 20:31:59,SiU6
98826,98826,98826,98826,0,1,2025-06-20 09:36:00,2025-06-20 09:36:59,SiU6
99941,99941,99941,99941,0,1,2025-06-20 09:57:00,2025-06-20 09:57:59,SiU6
99201,99201,99201,99201,0,8,2025-06-20 15:28:00,2025-06-20 15:28:59,SiU6
99808,99808,99808,99808,0,2,2025-06-20 16:01:00,2025-06-20 16:01:59,SiU6
99808,99808,99808,99808,0,2,2025-06-20 16:02:00,2025-06-20 16:02:59,SiU6
99807,99936,99936,99807,0,5,2025-06-20 16:03:00,2025-06-20 16:03:59,SiU6
98497,98481,98497,98481,0,12,2025-06-23 11:44:00,2025-06-23 11:44:59,SiU6
98607,98607,98607,98607,0,1,2025-06-23 17:22:00,2025-06-23 17:22:59,SiU6
99447,99447,99447,99447,0,2,2025-06-24 10:54:00,2025-06-24 10:54:59,SiU6
98440,98440,98440,98440,0,1,2025-06-24 17:18:00,2025-06-24 17:18:59,SiU6
98469,98469,98469,98469,0,1,2025-06-24 19:31:00,2025-06-24 19:31:59,SiU6
98799,98799,98799,98799,0,3,2025-06-24 23:12:00,2025-06-24 23:12:59,SiU6
98348,98348,98348,98348,0,2,2025-06-25 10:47:00,2025-06-25 10:47:59,SiU6
98347,97819,98347,97819,0,8,2025-06-25 10:48:00,2025-06-25 10:48:59,SiU6
98252,98252,98252,98252,0,1,2025-06-25 11:47:00,2025-06-25 11:47:59,SiU6
98547,98547,98547,98547,0,1,2025-06-25 14:08:00,2025-06-25 14:08:59,SiU6
98259,98260,98260,98259,0,10,2025-06-25 17:10:00,2025-06-25 17:10:59,SiU6
98255,98255,98255,98255,0,1,2025-06-25 18:06:00,2025-06-25 18:06:59,SiU6
97850,97850,97850,97850,0,1,2025-06-25 18:35:00,2025-06-25 18:35:59,SiU6
97818,97817,97818,97817,0,2,2025-06-25 18:37:00,2025-06-25 18:37:59,SiU6
97817,97817,97817,97817,0,1,2025-06-25 18:43:00,2025-06-25 18:43:59,SiU6
98010,98010,98010,98010,0,1,2025-06-26 11:02:00,2025-06-26 11:02:59,SiU6
97800,97800,97800,97800,0,3,2025-06-26 11:24:00,2025-06-26 11:24:59,SiU6
97269,97269,97269,97269,0,2,2025-06-26 11:27:00,2025-06-26 11:27:59,SiU6
98142,98142,98142,98142,0,1,2025-06-26 14:13:00,2025-06-26 14:13:59,SiU6
97479,97479,97479,97479,0,1,2025-06-26 14:35:00,2025-06-26 14:35:59,SiU6
97478,97478,97478,97478,0,2,2025-06-26 14:51:00,2025-06-26 14:51:59,SiU6
98138,98138,98138,98138,0,1,2025-06-26 16:59:00,2025-06-26 16:59:59,SiU6
97490,97200,97490,97200,0,17,2025-06-27 11:48:00,2025-06-27 11:48:59,SiU6
97490,97490,97490,97490,0,1,2025-06-27 12:05:00,2025-06-27 12:05:59,SiU6
96760,96760,96760,96760,0,1,2025-06-27 12:46:00,2025-06-27 12:46:59,SiU6
97489,97489,97489,97489,0,1,2025-06-27 12:53:00,2025-06-27 12:53:59,SiU6
97489,97490,97490,97489,0,2,2025-06-27 14:05:00,2025-06-27 14:05:59,SiU6
97489,97489,97489,97489,0,1,2025-06-27 17:18:00,2025-06-27 17:18:59,SiU6
97003,97003,97003,97003,0,1,2025-06-27 17:23:00,2025-06-27 17:23:59,SiU6
97249,97249,97249,97249,0,1,2025-06-30 12:04:00,2025-06-30 12:04:59,SiU6
97050,97050,97050,97050,0,1,2025-06-30 13:36:00,2025-06-30 13:36:59,SiU6
97050,97050,97050,97050,0,3,2025-06-30 13:59:00,2025-06-30 13:59:59,SiU6
97050,97050,97050,97050,0,1,2025-06-30 14:15:00,2025-06-30 14:15:59,SiU6
97000,97000,97000,97000,0,1,2025-07-01 13:26:00,2025-07-01 13:26:59,SiU6
